name,nationality,club,preferred.foot,position_group,age_group,overall,potential,wage,value
L. Messi,Argentina,FC Barcelona,Left,FWD,31 to 35,94,94,565000,110000000
Cristiano Ronaldo,Portugal,Juventus,Right,FWD,31 to 35,94,94,405000,77000000
Neymar Jr,Brazil,Paris Saint-Germain,Right,FWD,25 to 30,92,93,290000,118000000
De Gea,Spain,Manchester United,Right,GK,25 to 30,91,93,260000,72000000
K. De Bruyne,Belgium,Manchester City,Right,MID,25 to 30,91,92,355000,102000000
E. Hazard,Belgium,Chelsea,Right,FWD,25 to 30,91,91,340000,93000000
L. Modrić,Croatia,Real Madrid,Right,MID,31 to 35,91,91,420000,67000000
L. Suárez,Uruguay,FC Barcelona,Right,FWD,31 to 35,91,91,455000,80000000
Sergio Ramos,Spain,Real Madrid,Right,DEF,31 to 35,91,91,380000,51000000
J. Oblak,Slovenia,Atlético Madrid,Right,GK,21 to 25,90,93,94000,68000000
R. Lewandowski,Poland,FC Bayern München,Right,FWD,25 to 30,90,90,205000,77000000
T. Kroos,Germany,Real Madrid,Right,MID,25 to 30,90,90,355000,76000000
D. Godín,Uruguay,Atlético Madrid,Right,DEF,31 to 35,90,90,125000,44000000
David Silva,Spain,Manchester City,Left,MID,31 to 35,90,90,285000,60000000
N. Kanté,France,Chelsea,Right,MID,25 to 30,89,90,225000,63000000
P. Dybala,Argentina,Juventus,Left,FWD,21 to 25,89,94,205000,89000000
H. Kane,England,Tottenham Hotspur,Right,FWD,21 to 25,89,91,205000,83000000
A. Griezmann,France,Atlético Madrid,Left,MID,25 to 30,89,90,145000,78000000
M. ter Stegen,Germany,FC Barcelona,Right,GK,25 to 30,89,92,240000,58000000
T. Courtois,Belgium,Real Madrid,Left,GK,25 to 30,89,90,240000,53000000
Sergio Busquets,Spain,FC Barcelona,Right,MID,25 to 30,89,89,315000,51000000
E. Cavani,Uruguay,Paris Saint-Germain,Right,FWD,31 to 35,89,89,200000,60000000
M. Neuer,Germany,FC Bayern München,Right,GK,31 to 35,89,89,130000,38000000
S. Agüero,Argentina,Manchester City,Right,FWD,25 to 30,89,89,300000,64000000
G. Chiellini,Italy,Juventus,Left,DEF,31 to 35,89,89,215000,27000000
K. Mbappé,France,Paris Saint-Germain,Right,MID,20 and under,88,95,100000,81000000
M. Salah,Egypt,Liverpool,Left,MID,25 to 30,88,89,255000,69000000
Casemiro,Brazil,Real Madrid,Right,MID,25 to 30,88,90,285000,59000000
J. Rodríguez,Colombia,FC Bayern München,Left,MID,25 to 30,88,89,315000,69000000
L. Insigne,Italy,Napoli,Right,FWD,25 to 30,88,88,165000,62000000
Isco,Spain,Real Madrid,Right,FWD,25 to 30,88,91,315000,73000000
C. Eriksen,Denmark,Tottenham Hotspur,Right,MID,25 to 30,88,91,205000,73000000
Coutinho,Brazil,FC Barcelona,Right,FWD,25 to 30,88,89,340000,69000000
P. Aubameyang,Gabon,Arsenal,Right,MID,25 to 30,88,88,265000,59000000
M. Hummels,Germany,FC Bayern München,Right,DEF,25 to 30,88,88,160000,46000000
Marcelo,Brazil,Real Madrid,Left,DEF,25 to 30,88,88,285000,43000000
G. Bale,Wales,Real Madrid,Left,FWD,25 to 30,88,88,355000,60000000
H. Lloris,France,Tottenham Hotspur,Left,GK,31 to 35,88,88,150000,36000000
G. Higuaín,Argentina,Milan,Right,FWD,25 to 30,88,88,245000,57000000
Thiago Silva,Brazil,Paris Saint-Germain,Right,DEF,31 to 35,88,88,165000,24000000
S. Handanovič,Slovenia,Inter,Right,GK,31 to 35,88,88,110000,30000000
G. Buffon,Italy,Paris Saint-Germain,Right,GK,Over 35,88,88,77000,4000000
S. Umtiti,France,FC Barcelona,Left,DEF,21 to 25,87,92,205000,57000000
M. Icardi,Argentina,Inter,Right,FWD,21 to 25,87,90,130000,64000000
K. Koulibaly,Senegal,Napoli,Right,DEF,25 to 30,87,90,115000,51000000
P. Pogba,France,Manchester United,Right,MID,21 to 25,87,91,210000,64000000
K. Navas,Costa Rica,Real Madrid,Right,GK,31 to 35,87,87,195000,30000000
R. Lukaku,Belgium,Manchester United,Left,FWD,21 to 25,87,89,230000,62000000
C. Immobile,Italy,Lazio,Right,FWD,25 to 30,87,87,115000,52000000
